,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,treatment,outcome,user_id
0,1.7785049309489431,2.376918629345829,0.0,-1.6801763938523655,-1.5811415384101135,0.0,-31.4,0.838,no,3,no,2,4.7451286,0
1,-0.6317278154982192,5.337631462794957,0.0,-0.8693480204650607,-2.7678379725319964,0.0,-42.0,4.12,no,999,no,0,7.3109627,1
2,-0.8625951499327527,3.2159526730607646,1.0,-1.614799034990353,-2.614269951396534,1.0,-41.8,4.866,no,999,no,2,-52.156193,2
3,0.2308537053580199,2.2501929629887485,0.0,-1.6319941212545743,-5.705524666627629,1.0,-36.1,4.966,no,999,yes,0,-17.011566,3
4,0.194773852874194,4.896441960600793,0.0,-0.1433219382018429,2.568727937138814,1.0,-42.7,4.968,no,999,yes,2,-15.229788,4
5,0.2355555478325948,4.112811662143015,1.0,0.9304695738084662,-12.513066652156688,1.0,-36.4,4.857,no,999,no,2,1.4940133,5
6,1.1210990817130284,2.5765352024359665,1.0,-2.3375282764723684,-7.528887358633733,1.0,-36.4,4.856,no,999,no,2,11.463869,6
7,-0.8924364700738538,0.6006075052877655,1.0,1.2479411701014451,-6.327792602848332,2.0,-36.4,4.857,no,999,no,2,-27.2224,7
8,-0.8010865232227765,1.1582782487345058,0.0,-0.6438932264710026,3.985444715530071,0.0,-31.4,0.849,no,999,no,0,-18.50893,8
9,1.5143394240491783,-0.5729576014673654,0.0,2.665640253147,1.233187569865135,1.0,-42.0,4.076,no,999,no,0,-36.175972,9
10,-1.4334147250713336,2.9085018526661672,1.0,2.177372602023051,2.61511348493295,1.0,-36.4,4.859,no,999,yes,2,-10.871864,10
11,-0.2596309684550329,2.010495019356708,0.0,0.2390071805429991,4.878194178047825,1.0,-46.2,1.244,no,999,no,0,-16.569052,11
12,-0.2586906010864447,2.512730205189992,1.0,0.2399377698222165,-0.7619892725832075,1.0,-36.4,4.857,no,999,no,2,10.748764,12
13,0.0338031295046628,4.392721500516254,1.0,-0.1250409925014486,-3.969144656011569,0.0,-41.8,4.961,no,999,no,2,-6.943637,13
14,-0.2324851949160941,2.478518252616929,1.0,-1.06780163925821,3.7218166731140734,1.0,-36.4,4.857,no,999,no,2,-5.590937,14
15,1.0737588818822943,-0.6718952402017226,0.0,-1.650478409539876,-1.634050254141018,1.0,-42.7,4.962,no,999,no,1,-23.765575,15
16,1.7125288820691882,3.222576435811133,0.0,-0.8015037924416499,1.5423030011179568,2.0,-47.1,1.445,yes,999,no,2,-2.665326,16
